"","virus","kpred","kest","mspe","rmspe"
"1","IPNV",0.409429401159286,0.0299376212717884,0.144014011002181,0.379491779887498
"2","phi6",0.390366941690445,0.0669,0.10463086236657,0.323466941690445
"3","reo1",0.353252351284027,0.1357,0.0473290255492087,0.217552351284027
"4","RVSA11",0.383188188076019,0.176407522342531,0.0427582437211846,0.206780665733488
