"","virus","kpred","kest","mspe","rmspe"
"1","AdV1",0.172187060117722,0.07015,0.0104115616374675,0.102037060117722
"2","AdV15",0.169837415218353,0.05352,0.0135297410830788,0.116317415218353
"3","AdV2",0.177771627902985,0.0760395012167077,0.0103494256001127,0.101732126686277
"4","AdV40_Dugan",0.217479676008224,0.0648856380804976,0.0232849404110886,0.152594037927727
"5","AdV41_Tak",0.191247582435608,0.0422475411936957,0.0222010122900915,0.149000041241912
"6","AdV5",0.186986863613129,0.050013345452136,0.0187617446773998,0.136973518160993
"7","AdV6_Tonsil99",0.166821628808975,0.07246,0.00890411699148282,0.0943616288089752
"8","B40-8",0.703333854675293,0.35482,0.121461906900631,0.348513854675293
"9","lambda",0.729182064533234,0.450756228727963,0.0775209460438638,0.278425835805271
"10","PRD-1",0.256462603807449,0.128053718356434,0.016488841862772,0.128408885451015
"11","T1",0.760119378566742,0.805537465527339,0.00206280262316031,0.0454180869605966
"12","T2",2.91454577445984,5.362,5.99003218611439,2.44745422554016
"13","T5",2.71567130088806,4.363,2.71369184291783,1.64732869911194
"14","T6",1.51095604896545,5.362,14.8305395127998,3.85104395103455
"15","T7",0.485140770673752,0.522204327581696,0.00137370725066843,0.0370635569079444
"16","T7M",0.396558165550232,1.001,0.365349931233001,0.604441834449768
